Word	Category
comrades	loyalty_virtue
allegiances	loyalty_virtue
sacrifice	loyalty_virtue
allies	loyalty_virtue
organization	loyalty_virtue
followers	loyalty_virtue
us against them	loyalty_virtue
sacrifices	loyalty_virtue
all for one	loyalty_virtue
camaraderie	loyalty_virtue
comradery	loyalty_virtue
one for all	loyalty_virtue
fellow	loyalty_virtue
family	loyalty_virtue
allegiant	loyalty_virtue
corps	loyalty_virtue
unity	loyalty_virtue
union jack	loyalty_virtue
uniter	loyalty_virtue
old glory	loyalty_virtue
companions	loyalty_virtue
country	loyalty_virtue
companion	loyalty_virtue
homeland	loyalty_virtue
sacrificing	loyalty_virtue
indivisible	loyalty_virtue
sacrificed	loyalty_virtue
solidarity	loyalty_virtue
troops	loyalty_virtue
nation	loyalty_virtue
cult	loyalty_virtue
kinship	loyalty_virtue
companionship	loyalty_virtue
clique	loyalty_virtue
allied	loyalty_virtue
community	loyalty_virtue
group	loyalty_virtue
factions	loyalty_virtue
familiarity	loyalty_virtue
solidarities	loyalty_virtue
enlist	loyalty_virtue
companionships	loyalty_virtue
wife	loyalty_virtue
united	loyalty_virtue
belongs	loyalty_virtue
congregation	loyalty_virtue
brothers in arms	loyalty_virtue
clan	loyalty_virtue
trooper	loyalty_virtue
sect	loyalty_virtue
enlisted	loyalty_virtue
enlistment	loyalty_virtue
tribalism	loyalty_virtue
cohorts	loyalty_virtue
war	loyalty_virtue
joining	loyalty_virtue
troop	loyalty_virtue
sacrificial	loyalty_virtue
coalition	loyalty_virtue
insider	loyalty_virtue
pledge	loyalty_virtue
cohort	loyalty_virtue
enlisting	loyalty_virtue
unite	loyalty_virtue
communion	loyalty_virtue
familiarities	loyalty_virtue
belong	loyalty_virtue
ingroup	loyalty_virtue
belonged	loyalty_virtue
company	loyalty_virtue
collective	loyalty_virtue
fellows	loyalty_virtue
cliques	loyalty_virtue
uniting	loyalty_virtue
clans	loyalty_virtue
hazing	loyalty_virtue
congregates	loyalty_virtue
herd	loyalty_virtue
sects	loyalty_virtue
uniters	loyalty_virtue
undivided	loyalty_virtue
unites	loyalty_virtue
pledgers	loyalty_virtue
coalitions	loyalty_virtue
enlists	loyalty_virtue
grouping	loyalty_virtue
insiders	loyalty_virtue
families	loyalty_virtue
troupe	loyalty_virtue
fellowship	loyalty_virtue
kin	loyalty_virtue
pledger	loyalty_virtue
horde	loyalty_virtue
nations	loyalty_virtue
tribe	loyalty_virtue
hordes	loyalty_virtue
pledges	loyalty_virtue
herder	loyalty_virtue
commune	loyalty_virtue
cults	loyalty_virtue
congregations	loyalty_virtue
organizations	loyalty_virtue
herds	loyalty_virtue
pledging	loyalty_virtue
communities	loyalty_virtue
familiar	loyalty_virtue
hazings	loyalty_virtue
belonging	loyalty_virtue
pledged	loyalty_virtue
bowed	loyalty_virtue
collectively	loyalty_virtue
together	loyalty_virtue
groups	loyalty_virtue
homelands	loyalty_virtue
collectives	loyalty_virtue
troopers	loyalty_virtue
tribes	loyalty_virtue
companies	loyalty_virtue
countries	loyalty_virtue
troupes	loyalty_virtue
fellowships	loyalty_virtue
tribal	loyalty_virtue
communes	loyalty_virtue
herders	loyalty_virtue
grouped	loyalty_virtue
herding	loyalty_virtue
congregate	loyalty_virtue
herded	loyalty_virtue
congregating	loyalty_virtue
traitor	loyalty_vice
disloyal	loyalty_vice
treason	loyalty_vice
traitors	loyalty_vice
betray	loyalty_vice
betraying	loyalty_vice
betrayer	loyalty_vice
betrayers	loyalty_vice
unpatriotic	loyalty_vice
betrayed	loyalty_vice
treachery	loyalty_vice
enemies	loyalty_vice
backstabber	loyalty_vice
backstabbed	loyalty_vice
heretic	loyalty_vice
enemy	loyalty_vice
betrays	loyalty_vice
deserter	loyalty_vice
infidels	loyalty_vice
infidel	loyalty_vice
backstab	loyalty_vice
deserting	loyalty_vice
apostate	loyalty_vice
heresy	loyalty_vice
backstabbers	loyalty_vice
heretics	loyalty_vice
unfaithful	loyalty_vice
rebellion	loyalty_vice
desertion	loyalty_vice
deserters	loyalty_vice
apostates	loyalty_vice
unfaithfulness	loyalty_vice
backstabbing	loyalty_vice
rebel	loyalty_vice
cheat on	loyalty_vice
treacherous	loyalty_vice
backstabs	loyalty_vice
heresies	loyalty_vice
outsider	loyalty_vice
outgroup	loyalty_vice
cheated on	loyalty_vice
against us	loyalty_vice
cheating on	loyalty_vice
rebels	loyalty_vice
infidelity	loyalty_vice
outgroups	loyalty_vice
rebellions	loyalty_vice
outsiders	loyalty_vice
cheats on	loyalty_vice
respect	authority_virtue
obey	authority_virtue
authority	authority_virtue
obeyed	authority_virtue
deference	authority_virtue
reverence	authority_virtue
respecting	authority_virtue
obeying	authority_virtue
tradition	authority_virtue
adhere	authority_virtue
obeys	authority_virtue
revere	authority_virtue
govern	authority_virtue
comply	authority_virtue
respectful	authority_virtue
honor	authority_virtue
adhered	authority_virtue
allegiance	authority_virtue
dictates	authority_virtue
nobility	authority_virtue
forbid	authority_virtue
dominion	authority_virtue
governed	authority_virtue
obedient	authority_virtue
reveres	authority_virtue
adhering	authority_virtue
governs	authority_virtue
governing	authority_virtue
oppress	authority_virtue
respected	authority_virtue
respectfully	authority_virtue
honorable	authority_virtue
dictate	authority_virtue
commandments	authority_virtue
commandment	authority_virtue
venerate	authority_virtue
politeness	authority_virtue
respects	authority_virtue
obedience	authority_virtue
divine right	authority_virtue
forbids	authority_virtue
permission	authority_virtue
veneration	authority_virtue
hierarchy	authority_virtue
forbade	authority_virtue
honoring	authority_virtue
proper	authority_virtue
venerated	authority_virtue
stature	authority_virtue
acquiesce	authority_virtue
adherence	authority_virtue
deferential	authority_virtue
leadership	authority_virtue
punish	authority_virtue
forbidding	authority_virtue
revered	authority_virtue
filial piety	authority_virtue
patriarchs	authority_virtue
decree	authority_virtue
coerce	authority_virtue
dominions	authority_virtue
dictating	authority_virtue
venerating	authority_virtue
wear the crown	authority_virtue
venerates	authority_virtue
institution	authority_virtue
monarchical	authority_virtue
servant	authority_virtue
decrees	authority_virtue
permit	authority_virtue
do as one says	authority_virtue
supervise	authority_virtue
duty	authority_virtue
compliance	authority_virtue
lionize	authority_virtue
supervision	authority_virtue
take orders	authority_virtue
take up arms	authority_virtue
duties	authority_virtue
dictated	authority_virtue
elders	authority_virtue
emperors	authority_virtue
commands	authority_virtue
acquiesced	authority_virtue
emperor	authority_virtue
adheres	authority_virtue
servants	authority_virtue
regulations	authority_virtue
covenant	authority_virtue
hierarchical	authority_virtue
subordinate	authority_virtue
policing	authority_virtue
decreeing	authority_virtue
